

Software Version	3.04.17



Experiment File Path:	C:\Users\Biotek4\Box\biocircuits\ZJurado\Projects\Organelles\PURExpress_frex_systems\2024.01.26_PURExpress_DNAconcs_v2\2024.01.26_PURExp_DNA_concs_Biotek4_v2.xpt
Protocol File Path:	C:\Users\Biotek4\Box\biocircuits\ZJurado\Biotek\Protocols\deGFP_MGapt_384.prt



Plate Number	Plate 1
Date	1/26/2024
Time	5:15:28 PM
Reader Type:	Synergy H1
Reader Serial Number:	18060417
Reading Type	Reader

Procedure Details

Plate Type	384 WELL PLATE
Eject plate on completion	
Set Temperature	Setpoint 37°C
	Preheat before moving to next step
Start Kinetic	Runtime 12:00:00 (HH:MM:SS), Interval 0:03:00, 241 Reads
    Read	mGapt
	Fluorescence Endpoint
	B2..D8
	Filter Set 1
	    Excitation: 610,  Emission: 650
	    Optics: Bottom,  Gain: 135
	Filter Set 2
	    Excitation: 610,  Emission: 650
	    Optics: Bottom,  Gain: 150
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 9.5 mm
    Read	deGFP
	Fluorescence Endpoint
	B2..D8
	Filter Set 1
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 61
	Filter Set 2
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 100
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 9.5 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A																									Well ID
B		SPL1	SPL4	SPL7	SPL10	SPL13	SPL16	SPL19																	Well ID
C		SPL2	SPL5	SPL8	SPL11	SPL14	SPL17	SPL20																	Well ID
D		SPL3	SPL6	SPL9	SPL12	SPL15	SPL18	SPL21																	Well ID
E																									Well ID
F		SPL1	SPL4	SPL7	SPL10		SPL25	SPL28	SPL31	SPL34															Well ID
G		SPL2	SPL5	SPL8	SPL11		SPL26	SPL29	SPL32	SPL35															Well ID
H		SPL3	SPL6	SPL9	SPL12		SPL27	SPL30	SPL33	SPL36															Well ID
I		SPL1	SPL2																						Well ID
J		SPL13	SPL16	SPL19	SPL22		SPL37	SPL40	SPL43	SPL46															Well ID
K		SPL14	SPL17	SPL20	SPL23		SPL38	SPL41	SPL44	SPL47															Well ID
L		SPL15	SPL18	SPL21	SPL24		SPL39	SPL42	SPL45	SPL48															Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

mGapt:610,650

Time	T° mGapt:610,650	B2	B3	B4	B5	B6	B7	B8	C2	C3	C4	C5	C6	C7	C8	D2	D3	D4	D5	D6	D7	D8	F2	F3	F4	F5	F7	F8	F9	F10	G2	G3	G4	G5	G7	G8	G9	G10	H2	H3	H4	H5	H7	H8	H9	H10	I2	I3	J2	J3	J4	J5	J7	J8	J9	J10	K2	K3	K4	K5	K7	K8	K9	K10	L2	L3	L4	L5	L7	L8	L9	L10
8:48:00	37.0	25718	21143	15650	10926	7207	4459	10	25051	20707	15120	11323	6914	4577	16	26220	20914	15229	11078	7466	4656	30																																																		
8:51:00	37.0	27172	20332	16464	10205	7128	4667	34	23962	20129	15741	12087	6350	4388	21	25194	20383	14856	11440	7432	4595	14																																																		
8:54:00	37.0	26402	21457	16388	11555	7485	4394	44	23911	21234	15468	11809	6849	4408	17	26124	20451	14817	11190	7618	4279	16																																																		
8:57:00	37.0	26044	21276	15584	9848	7185	4434	30	23814	21065	15500	11196	7180	4711	21	25306	20363	14898	10909	7820	4276	30																																																		
9:00:00	37.0	26627	20900	15725	10267	7528	4447	59	24366	20561	15984	10865	7083	4518	5	25621	20911	15744	10614	7339	4553	4																																																		
9:03:00	37.0	27039	20810	15279	10444	7335	4441	25	24576	20879	15220	11456	7084	4889	51	24738	21335	14816	11124	7563	4591	37																																																		
9:06:00	37.0	27483	21115	16100	10132	7443	4471	15	24146	20952	15132	11634	7201	5134	9	25012	21143	15441	11555	7018	4261	16																																																		
9:09:00	37.0	26302	21191	15688	10486	7183	4708	38	24577	21109	15435	11665	6969	5090	0	25691	21229	15322	10678	7431	4409	33																																																		
9:12:00	37.0	25974	21199	15623	10999	7619	4597	6	25218	20378	15913	11408	7331	5234	12	26379	21662	14728	11012	7246	4354	30																																																		
9:15:00	37.0	26615	22120	15680	10418	7850	4931	9	24049	20187	15698	10955	7032	4874	4	25703	21498	15998	11310	7681	4692	7																																																		
9:18:00	37.0	26417	21177	15632	10960	7154	4342	1	24461	20276	15670	11107	7059	4732	7	24873	20971	15497	11362	7521	4370	0																																																		
9:21:00	37.0	27407	21374	15278	10751	7227	4138	4	24974	20244	15382	11217	7010	4744	10	25168	22049	15297	10742	7691	4826	30																																																		
9:24:00	37.0	26220	21294	15871	10627	7339	4097	1	24263	20796	15154	10408	6978	4986	21	25611	20753	15496	11067	7604	4598	26																																																		
9:27:00	37.0	26724	21753	15667	10354	7725	4863	8	25327	20294	15677	11073	7477	4799	29	25755	21961	14859	11598	6998	4435	10																																																		
9:30:00	37.0	26660	20933	16206	10633	7070	4826	59	24285	20466	15780	10960	7034	5062	4	25078	20932	14922	10769	7096	4121	20																																																		
9:33:00	37.0	26129	21168	16451	11019	6847	4435	15	24077	20456	16077	11004	7526	4973	26	25722	21435	14926	11493	7654	4876	16																																																		
9:36:00	37.0	26735	21308	15691	10793	7284	4676	10	24872	20149	15576	11812	7399	4547	20	26347	21075	15184	11331	7138	4468	10																																																		
9:39:00	37.0	26682	21050	15767	10973	7917	4611	30	24832	20729	14858	11417	6919	4593	20	26890	21032	15324	11503	7321	4565	26																																																		
9:42:00	36.9	27341	21433	15963	11090	7367	4357	7	24741	21350	15965	11353	7237	4513	16	26211	21339	15368	11463	7596	4448	27																																																		
9:45:00	37.1	27482	21695	15934	10786	7613	4444	30	25357	21142	15241	11890	7770	5171	23	25976	21000	14976	11158	7250	4877	10																																																		
9:48:00	37.0	26296	21742	16346	11383	7793	4479	25	24777	20161	16267	11749	6864	4906	19	25829	21258	15496	10832	7479	4590	26																																																		
9:51:00	36.9	26223	20822	16257	10729	7885	4483	0	24811	20997	16210	11898	7072	4824	14	26331	20746	15396	11722	7579	4607	11																																																		
9:54:00	37.0	27125	21507	15813	11167	7352	4516	0	24676	21128	16004	12012	6843	4880	18	26372	21592	15965	10804	7662	4484	15																																																		
9:57:00	37.0	27126	21362	16814	10427	7497	4495	12	24363	21126	15361	11056	7083	5280	56	26804	20915	15605	11583	7234	4877	43																																																		
10:00:00	37.0	27461	21892	16161	10676	7837	4029	0	24940	20484	15620	11723	6997	5186	0	26146	20549	15646	11818	7017	4548	11																																																		
10:03:00	37.0	26905	22332	15561	10671	7638	4571	11	24381	21176	15894	11748	7199	4807	20	26184	21502	15050	11492	7163	4589	36																																																		
10:06:00	37.0	27013	20952	16550	10889	7387	4644	6	25339	21141	15993	11610	7334	4912	35	25724	21895	16148	11155	7248	4152	2																																																		
10:09:00	37.0	26783	22348	16468	11520	7719	5055	0	25088	20745	15777	11579	6967	4782	12	26034	21444	15260	11497	7500	4492	28																																																		
10:12:00	37.0	26628	21578	16300	10704	6791	4513	34	24156	21607	15529	11058	7360	4985	28	26937	21599	15232	11193	7295	4542	21																																																		
10:15:00	37.0	26879	21914	16651	11036	7598	4550	20	25316	20644	15392	11787	7813	4961	6	25608	20835	15525	11989	7262	4758	25																																																		
10:18:00	37.0	26833	21931	15931	10595	7238	4710	22	25560	21048	15126	11140	7636	4959	17	25645	21221	15081	11657	7721	4359	36																																																		
10:21:00	37.0	28149	22601	15763	11352	7449	4917	21	25231	20945	15138	10638	7333	4867	19	26177	21630	15113	11126	7407	4600	29																																																		
10:24:00	36.9	27135	21731	16373	10940	7264	4522	5	25451	20796	15792	11626	7085	4865	27	26879	21373	16241	11237	7411	4777	26																																																		
10:27:00	37.0	27416	21103	16342	10689	7275	4600	8	25414	20696	15441	11120	7073	4401	36	26465	21482	16094	11454	7910	5059	34																																																		
10:30:00	37.0	27034	20813	15995	10870	7518	4552	20	24613	21110	16758	11505	7004	5393	27	25870	21141	15176	10923	7890	4586	3																																																		
10:33:00	37.0	27368	21366	16042	10559	7443	4978	0	24690	21074	15562	11270	7359	5033	39	26197	21353	15375	11292	7295	4501	0																																																		
10:36:00	37.0	27470	22500	16783	10520	7948	4566	34	25014	21909	15550	11491	7038	5413	23	27224	20946	15422	10785	7616	4482	18																																																		
10:39:00	37.0	27124	21266	15835	10810	7791	4661	9	24351	21345	16682	11428	6769	5148	23	26559	21906	15407	11386	8060	4569	4																																																		
10:42:00	37.0	26981	22066	16070	10996	7594	4627	12	25884	21003	16258	11323	7520	4938	23	26961	21760	15577	10843	7319	4130	25																																																		
10:45:00	37.0	26803	21563	15780	10910	7343	4334	34	25373	21281	15796	11164	7338	4797	27	26033	21555	15361	11612	7740	4885	0																																																		
10:48:00	37.0	27723	21829	16554	10687	7414	4529	15	24714	21461	15711	12008	7143	4977	41	25937	21790	16000	11867	7303	4512	4																																																		
10:51:00	37.0	27746	21027	16424	10532	7455	4654	5	25519	20369	16646	11801	7314	4872	26	26549	21104	15266	11280	8088	4393	23																																																		
10:54:00	37.0	27135	22610	15867	10899	7683	4854	8	24670	21010	15571	11590	7299	4905	30	25976	21196	15990	11619	7728	4584	0																																																		
10:57:00	37.0	27719	21877	16069	11233	7203	4649	24	25662	21427	15048	11988	7639	4991	15	26543	20552	15252	11998	7031	4581	14																																																		
11:00:00	37.0	27938	22911	16335	11327	7055	4617	4	25083	21134	15645	11519	7242	4962	0	26723	22029	15758	11403	7401	4496	10																																																		
11:03:00	37.0	26800	20974	16612	10295	7278	4740	27	25608	20926	16365	11472	7272	5074	17	25960	21230	16112	11327	8039	4544	18																																																		
11:06:00	37.0	28764	21669	16122	11097	7546	4792	33	25175	21642	15738	11246	6801	4836	4	25731	20942	15764	11865	7178	4478	10																																																		
11:09:00	36.9	27193	21877	16026	11015	7904	4679	18	26200	20815	16007	11817	7141	4760	32	26406	22011	15554	11208	7574	4740	24																																																		
11:12:00	37.0	27079	21438	16789	11242	7948	4506	19	25863	21737	15770	11360	7113	4973	20	26063	21426	15823	11069	8133	4904	53																																																		
11:15:00	37.0	26916	21592	16560	11018	7449	4688	16	25507	20470	15579	11805	6673	5353	26	26560	22415	15078	11431	7686	4674	16																																																		
11:18:00	37.0	27643	21804	16203	10540	7571	4401	23	26172	21218	15700	11187	7095	5043	16	25544	20956	15654	11665	7822	4639	2																																																		
11:21:00	37.0	27986	21945	15961	10463	7512	4960	33	24740	20489	16095	11565	6911	4896	14	26299	22447	15827	11808	7498	4886	0																																																		
11:24:00	37.0	27033	22238	15451	10494	7580	4734	21	24523	20375	16719	11204	7196	4587	18	26044	21833	15672	10911	7324	4443	32																																																		
11:27:00	37.0	27435	22548	16119	10578	7867	4253	4	25699	20889	16180	11447	7570	5073	31	26678	21706	15888	11532	7566	4727	36																																																		
11:30:00	37.0	27036	23110	15674	11057	7200	4578	19	25305	21725	15807	11526	7087	4911	52	26564	21649	15452	11391	7700	4461	3																																																		
11:33:00	37.0	27386	22047	15401	10842	7593	4648	20	26147	20825	15717	11199	7182	5329	13	27119	20994	16077	11718	7972	4777	48																																																		
11:36:00	37.0	26776	21630	16636	11197	7464	4798	0	24695	21839	16082	11894	6902	5117	37	26107	21619	15625	11209	7507	4721	16																																																		
11:39:00	37.0	27620	21967	15820	10987	7545	4422	27	26414	21843	15832	12345	7132	5129	11	26773	21183	16592	11369	8286	4784	27																																																		
11:42:00	37.0	28606	21857	16524	10326	7380	4863	0	25577	21359	15751	11860	7066	5235	39	26579	21695	16053	11291	7450	4773	10																																																		
11:45:00	37.0	26233	22007	15959	10491	7622	4371	41	24639	20628	16094	11168	7583	4876	1	26034	22356	15269	10888	8040	4609	17																																																		
11:48:00	37.0	26496	22141	16272	10893	7396	4668	27	24601	20043	16121	11858	7130	5042	3	26836	21935	15999	10809	6942	4764	31																																																		
11:51:00	37.0	27270	22081	16043	11192	7596	4413	11	25376	21099	15832	12125	7511	4928	40	26430	21913	15890	11056	7304	4557	32																																																		
11:54:00	37.0	27629	22331	16735	10737	7916	4384	0	25011	21081	16388	11553	7796	5003	22	26043	23036	16033	11466	7345	4751	18																																																		
11:57:00	37.0	27338	21937	17159	11291	7696	4549	4	25123	20826	15203	11422	7354	4990	46	27509	21877	15937	11345	7793	4429	27																																																		
12:00:00	37.0	28700	22195	16297	10556	8336	4663	16	24780	21371	15302	11701	7007	4976	19	27079	22806	15644	11007	7637	4758	23																																																		

mGapt:610,650[2]

Time	T° mGapt:610,650[2]	B2	B3	B4	B5	B6	B7	B8	C2	C3	C4	C5	C6	C7	C8	D2	D3	D4	D5	D6	D7	D8	F2	F3	F4	F5	F7	F8	F9	F10	G2	G3	G4	G5	G7	G8	G9	G10	H2	H3	H4	H5	H7	H8	H9	H10	I2	I3	J2	J3	J4	J5	J7	J8	J9	J10	K2	K3	K4	K5	K7	K8	K9	K10	L2	L3	L4	L5	L7	L8	L9	L10
0:00:12	37.0	734	418	236	263	108	204	0	733	537	276	330	208	247	73	803	474	786	244	521	144	38																																																		
0:03:12	37.0	1067	832	398	245	229	81	45	613	612	414	359	241	158	75	1090	782	734	231	653	76	21																																																		
0:06:12	37.0	1710	1329	469	421	348	308	62	977	1192	612	555	253	181	8	1174	1184	1136	378	511	245	73																																																		
0:09:12	37.0	1677	1083	706	565	278	215	64	1225	926	418	350	277	226	53	1453	936	1290	502	714	79	52																																																		
0:12:12	37.0	2190	1190	699	325	133	76	153	1400	1066	651	403	253	146	28	1623	842	1064	508	737	206	66																																																		
0:15:12	37.0	2385	1313	635	494	191	146	60	1731	1165	655	623	190	201	122	1717	1416	929	598	435	158	59																																																		
0:18:12	37.1	2285	1580	682	459	338	177	78	1808	1232	729	496	162	184	79	2356	1550	1274	716	579	166	57																																																		
0:21:12	37.0	3098	1866	847	703	317	168	21	2181	1885	918	545	520	204	22	2782	1977	1410	859	806	271	22																																																		
0:24:12	37.0	3478	2497	1185	537	504	235	37	2600	1879	1012	544	515	260	3	2907	2155	1569	717	758	283	20																																																		
0:27:12	37.0	3299	2377	1319	823	408	267	36	3145	2546	1207	479	487	263	42	3752	2205	1861	741	688	277	26																																																		
0:30:12	37.0	3862	2992	1555	645	479	366	58	3688	2522	1344	906	438	259	61	3991	2787	1863	726	529	257	48																																																		
0:33:12	37.0	4091	2938	1546	1192	499	226	41	4171	2664	1260	713	544	146	27	4413	2809	2130	990	583	189	16																																																		
0:36:12	37.0	4554	2959	1666	1501	475	362	15	3892	2908	1751	881	647	340	83	4473	3208	2184	1267	679	268	97																																																		
0:39:12	37.0	4993	3069	1833	1071	694	429	50	4044	3349	2017	1198	724	334	15	5439	3251	2608	1603	797	274	0																																																		
0:42:12	37.0	5465	3932	2007	1310	506	183	56	4764	3031	1857	1072	522	257	3	5610	3126	2543	1512	808	250	84																																																		
0:45:12	37.0	6217	3953	1797	1355	690	480	71	4816	3766	1921	1120	663	253	5	5078	3610	2327	1311	1054	221	49																																																		
0:48:12	37.0	5959	3824	2398	1502	697	419	71	4806	2948	1826	1447	707	391	3	5773	4075	2512	1202	1059	499	1																																																		
0:51:12	37.0	6249	4209	2179	1676	612	362	91	5238	3995	2173	1248	799	310	24	6441	4118	2545	1576	766	446	24																																																		
0:54:12	37.0	6305	4071	2564	1282	894	416	113	4999	3837	2011	1247	688	421	24	6092	4427	2457	1279	1276	387	148																																																		
0:57:12	37.0	6496	4194	2263	1304	864	487	96	5430	3778	2299	1254	1009	382	28	6271	4338	2597	1487	1242	317	55																																																		
1:00:12	37.0	5840	4436	2481	1631	729	486	76	5729	3639	2228	1265	890	460	82	6370	4036	2734	1262	1030	548	153																																																		
1:03:12	37.0	7108	4617	3138	1235	699	360	131	6543	4075	1877	1420	1062	518	0	6477	4427	2846	1624	1184	687	68																																																		
1:06:12	37.0	6939	4262	2661	1753	879	607	19	5799	3849	2559	1795	932	890	6	7088	4680	2729	1762	1133	514	48																																																		
1:09:12	37.0	6852	4840	2888	1582	813	464	2	5791	4337	2698	1491	723	785	29	6770	4412	3001	1672	1536	580	42																																																		
1:12:12	37.0	7440	5131	3185	1709	828	476	51	6065	4643	3014	1543	989	742	76	6384	4901	3100	1361	1345	771	65																																																		
1:15:12	37.0	7865	4382	2824	2044	1047	571	41	6107	4966	2629	1441	1133	746	6	7332	4774	3568	1898	1286	664	48																																																		
1:18:12	37.0	7959	4926	2318	1817	1010	742	29	6903	4732	3599	1374	873	908	2	7510	5285	3472	1838	1446	577	23																																																		
1:21:12	37.0	8813	5974	3597	1718	1031	730	49	6695	6233	2808	1618	1350	553	61	7378	5329	3391	2166	1440	605	88																																																		
1:24:12	37.0	8912	5564	2640	1846	1291	604	140	6514	5727	3433	1882	1194	1174	56	8281	5994	2888	2341	1749	744	31																																																		
